gene_id	trans_id	gene_name	transcript_name	gene_type	transcript_type
ENSG00000187642.10	ENST00000694917.1	PERM1	PERM1-204	protein_coding	protein_coding
ENSG00000272512.1	ENST00000606034.1	ENSG00000272512	ENST00000606034	lncRNA	lncRNA
ENSG00000188290.11	ENST00000428771.6	HES4	HES4-202	protein_coding	protein_coding
ENSG00000188290.11	ENST00000304952.11	HES4	HES4-201	protein_coding	protein_coding
ENSG00000188290.11	ENST00000484667.2	HES4	HES4-204	protein_coding	protein_coding
ENSG00000187608.10	ENST00000624697.4	ISG15	ISG15-202	protein_coding	protein_coding
ENSG00000187608.10	ENST00000649529.1	ISG15	ISG15-203	protein_coding	protein_coding
ENSG00000224969.1	ENST00000458555.1	ENSG00000224969	ENST00000458555	lncRNA	lncRNA
ENSG00000188157.15	ENST00000379370.7	AGRN	AGRN-201	protein_coding	protein_coding
ENSG00000188157.15	ENST00000620552.4	AGRN	AGRN-208	protein_coding	protein_coding
ENSG00000242590.1	ENST00000418300.1	ENSG00000242590	ENST00000418300	lncRNA	lncRNA
ENSG00000291156.1	ENST00000688131.1	ENSG00000291156	ENST00000688131	lncRNA	lncRNA
ENSG00000273443.1	ENST00000442292.2	ENSG00000273443	ENST00000442292	lncRNA	lncRNA
ENSG00000237330.3	ENST00000453464.3	RNF223	RNF223-201	protein_coding	protein_coding
ENSG00000131591.18	ENST00000379339.5	C1orf159	C1orf159-204	protein_coding	protein_coding
ENSG00000131591.18	ENST00000421241.7	C1orf159	C1orf159-205	protein_coding	protein_coding
ENSG00000131591.18	ENST00000379325.7	C1orf159	C1orf159-203	protein_coding	nonsense_mediated_decay
ENSG00000131591.18	ENST00000467751.5	C1orf159	C1orf159-212	protein_coding	nonsense_mediated_decay
ENSG00000131591.18	ENST00000477196.5	C1orf159	C1orf159-216	protein_coding	nonsense_mediated_decay
ENSG00000131591.18	ENST00000379320.5	C1orf159	C1orf159-202	protein_coding	protein_coding
ENSG00000131591.18	ENST00000379319.5	C1orf159	C1orf159-201	protein_coding	protein_coding
ENSG00000285812.1	ENST00000648183.1	ENSG00000285812	ENST00000648183	lncRNA	lncRNA
ENSG00000223823.1	ENST00000416774.1	LINC01342	LINC01342-201	lncRNA	lncRNA
ENSG00000272141.1	ENST00000606993.1	ENSG00000272141	ENST00000606993	lncRNA	lncRNA
ENSG00000205231.1	ENST00000379317.1	TTLL10-AS1	TTLL10-AS1-201	lncRNA	lncRNA
ENSG00000162571.14	ENST00000379289.6	TTLL10	TTLL10-202	protein_coding	protein_coding
ENSG00000162571.14	ENST00000379290.6	TTLL10	TTLL10-203	protein_coding	protein_coding
ENSG00000162571.14	ENST00000379288.3	TTLL10	TTLL10-201	protein_coding	protein_coding
ENSG00000162571.14	ENST00000486379.1	TTLL10	TTLL10-205	protein_coding	nonsense_mediated_decay
ENSG00000186891.14	ENST00000328596.10	TNFRSF18	TNFRSF18-201	protein_coding	protein_coding
ENSG00000186891.14	ENST00000379268.7	TNFRSF18	TNFRSF18-203	protein_coding	protein_coding
ENSG00000186891.14	ENST00000486728.5	TNFRSF18	TNFRSF18-204	protein_coding	protein_coding
ENSG00000186891.14	ENST00000379265.5	TNFRSF18	TNFRSF18-202	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699969.1	TNFRSF4	TNFRSF4-204	protein_coding	protein_coding
ENSG00000186827.12	ENST00000379236.4	TNFRSF4	TNFRSF4-201	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699971.1	TNFRSF4	TNFRSF4-206	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699973.1	TNFRSF4	TNFRSF4-208	protein_coding	nonsense_mediated_decay
ENSG00000186827.12	ENST00000699974.1	TNFRSF4	TNFRSF4-209	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699975.1	TNFRSF4	TNFRSF4-210	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699976.1	TNFRSF4	TNFRSF4-211	protein_coding	protein_coding
ENSG00000186827.12	ENST00000699977.1	TNFRSF4	TNFRSF4-212	protein_coding	protein_coding
ENSG00000078808.20	ENST00000360001.12	SDF4	SDF4-202	protein_coding	protein_coding
ENSG00000078808.20	ENST00000263741.12	SDF4	SDF4-201	protein_coding	protein_coding
ENSG00000078808.20	ENST00000465727.5	SDF4	SDF4-205	protein_coding	nonsense_mediated_decay
ENSG00000176022.7	ENST00000379198.5	B3GALT6	B3GALT6-201	protein_coding	protein_coding
ENSG00000184163.3	ENST00000330388.2	C1QTNF12	C1QTNF12-201	protein_coding	protein_coding
ENSG00000260179.1	ENST00000565563.1	ENSG00000260179	ENST00000565563	lncRNA	lncRNA
ENSG00000160087.21	ENST00000450390.6	UBE2J2	UBE2J2-208	protein_coding	nonsense_mediated_decay
ENSG00000160087.21	ENST00000349431.11	UBE2J2	UBE2J2-202	protein_coding	protein_coding
ENSG00000160087.21	ENST00000347370.6	UBE2J2	UBE2J2-201	protein_coding	protein_coding
ENSG00000160087.21	ENST00000400929.6	UBE2J2	UBE2J2-204	protein_coding	protein_coding
ENSG00000160087.21	ENST00000464036.5	UBE2J2	UBE2J2-210	protein_coding	nonsense_mediated_decay
ENSG00000160087.21	ENST00000360466.6	UBE2J2	UBE2J2-203	protein_coding	protein_coding
ENSG00000160087.21	ENST00000400930.8	UBE2J2	UBE2J2-205	protein_coding	protein_coding
ENSG00000160087.21	ENST00000473215.5	UBE2J2	UBE2J2-214	protein_coding	nonsense_mediated_decay
ENSG00000160087.21	ENST00000466752.5	UBE2J2	UBE2J2-211	protein_coding	nonsense_mediated_decay
ENSG00000160087.21	ENST00000503294.5	UBE2J2	UBE2J2-219	protein_coding	nonsense_mediated_decay
ENSG00000160087.21	ENST00000477894.5	UBE2J2	UBE2J2-215	protein_coding	nonsense_mediated_decay
ENSG00000230415.1	ENST00000434139.1	LINC01786	LINC01786-201	lncRNA	lncRNA
ENSG00000230415.1	ENST00000453732.1	LINC01786	LINC01786-202	lncRNA	lncRNA
ENSG00000162572.21	ENST00000379116.10	SCNN1D	SCNN1D-205	protein_coding	protein_coding
ENSG00000162572.21	ENST00000379101.8	SCNN1D	SCNN1D-204	protein_coding	nonsense_mediated_decay
ENSG00000162572.21	ENST00000338555.6	SCNN1D	SCNN1D-202	protein_coding	protein_coding
ENSG00000162572.21	ENST00000400928.7	SCNN1D	SCNN1D-206	protein_coding	protein_coding
ENSG00000162572.21	ENST00000325425.12	SCNN1D	SCNN1D-201	protein_coding	protein_coding
ENSG00000131584.19	ENST00000354700.10	ACAP3	ACAP3-202	protein_coding	protein_coding
ENSG00000131584.19	ENST00000353662.4	ACAP3	ACAP3-201	protein_coding	protein_coding
ENSG00000131584.19	ENST00000354980.7	ACAP3	ACAP3-203	protein_coding	nonsense_mediated_decay
ENSG00000169972.13	ENST00000379031.10	PUSL1	PUSL1-201	protein_coding	protein_coding
ENSG00000127054.22	ENST00000540437.5	INTS11	INTS11-247	protein_coding	protein_coding
ENSG00000127054.22	ENST00000545578.5	INTS11	INTS11-248	protein_coding	protein_coding
ENSG00000127054.22	ENST00000620829.4	INTS11	INTS11-249	protein_coding	protein_coding
ENSG00000127054.22	ENST00000435064.6	INTS11	INTS11-208	protein_coding	protein_coding
ENSG00000127054.22	ENST00000411962.5	INTS11	INTS11-202	protein_coding	protein_coding
ENSG00000127054.22	ENST00000421495.6	INTS11	INTS11-204	protein_coding	protein_coding
ENSG00000127054.22	ENST00000458452.7	INTS11	INTS11-210	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000419704.5	INTS11	INTS11-203	protein_coding	protein_coding
ENSG00000127054.22	ENST00000532772.5	INTS11	INTS11-243	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000450926.6	INTS11	INTS11-209	protein_coding	protein_coding
ENSG00000127054.22	ENST00000527098.5	INTS11	INTS11-233	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000528879.5	INTS11	INTS11-236	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000531377.5	INTS11	INTS11-242	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000526797.5	INTS11	INTS11-231	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000430786.5	INTS11	INTS11-206	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000429572.5	INTS11	INTS11-205	protein_coding	protein_coding
ENSG00000127054.22	ENST00000531019.5	INTS11	INTS11-239	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000470679.3	INTS11	INTS11-215	protein_coding	nonsense_mediated_decay
ENSG00000127054.22	ENST00000525285.1	INTS11	INTS11-226	protein_coding	nonsense_mediated_decay
ENSG00000240731.1	ENST00000444968.1	ENSG00000240731	ENST00000444968	lncRNA	lncRNA
ENSG00000224051.7	ENST00000343938.9	CPTP	CPTP-201	protein_coding	protein_coding
ENSG00000169962.5	ENST00000339381.6	TAS1R3	TAS1R3-201	protein_coding	protein_coding
ENSG00000107404.21	ENST00000378891.9	DVL1	DVL1-202	protein_coding	protein_coding
ENSG00000107404.21	ENST00000378888.10	DVL1	DVL1-201	protein_coding	protein_coding
ENSG00000162576.17	ENST00000342753.8	MXRA8	MXRA8-202	protein_coding	protein_coding
ENSG00000162576.17	ENST00000309212.11	MXRA8	MXRA8-201	protein_coding	protein_coding
ENSG00000162576.17	ENST00000445648.5	MXRA8	MXRA8-203	protein_coding	protein_coding
ENSG00000162576.17	ENST00000477278.3	MXRA8	MXRA8-209	protein_coding	protein_coding
ENSG00000175756.14	ENST00000338370.7	AURKAIP1	AURKAIP1-203	protein_coding	protein_coding
ENSG00000175756.14	ENST00000321751.9	AURKAIP1	AURKAIP1-201	protein_coding	protein_coding
ENSG00000175756.14	ENST00000338338.10	AURKAIP1	AURKAIP1-202	protein_coding	protein_coding
ENSG00000175756.14	ENST00000378853.3	AURKAIP1	AURKAIP1-204	protein_coding	protein_coding
ENSG00000221978.13	ENST00000400809.8	CCNL2	CCNL2-201	protein_coding	protein_coding
ENSG00000221978.13	ENST00000482621.5	CCNL2	CCNL2-214	protein_coding	nonsense_mediated_decay
ENSG00000221978.13	ENST00000481223.6	CCNL2	CCNL2-212	protein_coding	nonsense_mediated_decay
ENSG00000221978.13	ENST00000488340.5	CCNL2	CCNL2-215	protein_coding	nonsense_mediated_decay
ENSG00000221978.13	ENST00000408918.8	CCNL2	CCNL2-202	protein_coding	protein_coding
ENSG00000221978.13	ENST00000425598.2	CCNL2	CCNL2-204	protein_coding	nonsense_mediated_decay
ENSG00000224870.9	ENST00000702620.1	MRPL20-AS1	MRPL20-AS1-214	lncRNA	lncRNA
ENSG00000242485.6	ENST00000344843.12	MRPL20	MRPL20-201	protein_coding	protein_coding
ENSG00000242485.6	ENST00000482352.1	MRPL20	MRPL20-203	protein_coding	protein_coding
ENSG00000272455.1	ENST00000607307.1	MRPL20-DT	MRPL20-DT-201	lncRNA	lncRNA
ENSG00000235098.9	ENST00000537107.6	ANKRD65	ANKRD65-205	protein_coding	protein_coding
ENSG00000235098.9	ENST00000520296.5	ANKRD65	ANKRD65-204	protein_coding	protein_coding
ENSG00000235098.9	ENST00000427211.3	ANKRD65	ANKRD65-201	protein_coding	protein_coding
ENSG00000235098.9	ENST00000454272.2	ANKRD65	ANKRD65-203	protein_coding	protein_coding
ENSG00000235098.9	ENST00000442470.1	ANKRD65	ANKRD65-202	protein_coding	protein_coding
ENSG00000225905.1	ENST00000428932.1	ANKRD65-AS1	ANKRD65-AS1-201	lncRNA	lncRNA
ENSG00000205116.4	ENST00000378821.4	TMEM88B	TMEM88B-201	protein_coding	protein_coding
ENSG00000225285.1	ENST00000430109.1	LINC01770	LINC01770-202	lncRNA	lncRNA
ENSG00000225285.1	ENST00000417917.1	LINC01770	LINC01770-201	lncRNA	lncRNA
ENSG00000179403.12	ENST00000338660.5	VWA1	VWA1-201	protein_coding	protein_coding
ENSG00000179403.12	ENST00000476993.2	VWA1	VWA1-203	protein_coding	protein_coding
ENSG00000215915.10	ENST00000378785.7	ATAD3C	ATAD3C-201	protein_coding	protein_coding
ENSG00000160072.20	ENST00000673477.1	ATAD3B	ATAD3B-206	protein_coding	protein_coding
ENSG00000160072.20	ENST00000308647.8	ATAD3B	ATAD3B-201	protein_coding	protein_coding
ENSG00000290916.1	ENST00000641974.1	ENSG00000290916	ENST00000641974	lncRNA	lncRNA
ENSG00000197785.14	ENST00000378756.8	ATAD3A	ATAD3A-203	protein_coding	protein_coding
ENSG00000197785.14	ENST00000378755.9	ATAD3A	ATAD3A-202	protein_coding	protein_coding
ENSG00000197785.14	ENST00000339113.9	ATAD3A	ATAD3A-201	protein_coding	nonsense_mediated_decay
ENSG00000197785.14	ENST00000536055.6	ATAD3A	ATAD3A-207	protein_coding	protein_coding
ENSG00000205090.10	ENST00000378733.9	TMEM240	TMEM240-201	protein_coding	protein_coding
ENSG00000205090.10	ENST00000624426.1	TMEM240	TMEM240-202	protein_coding	protein_coding
ENSG00000160075.12	ENST00000291386.4	SSU72	SSU72-201	protein_coding	protein_coding
ENSG00000160075.12	ENST00000359060.5	SSU72	SSU72-202	protein_coding	protein_coding
ENSG00000215014.5	ENST00000647566.1	ENSG00000215014	ENST00000647566	lncRNA	lncRNA
ENSG00000228594.4	ENST00000422725.4	FNDC10	FNDC10-201	protein_coding	protein_coding
ENSG00000286989.1	ENST00000658591.1	ENSG00000286989	ENST00000658591	lncRNA	lncRNA
ENSG00000272106.1	ENST00000607222.1	ENSG00000272106	ENST00000607222	lncRNA	lncRNA
ENSG00000197530.13	ENST00000489635.5	MIB2	MIB2-214	protein_coding	nonsense_mediated_decay
ENSG00000197530.13	ENST00000355826.10	MIB2	MIB2-201	protein_coding	protein_coding
ENSG00000197530.13	ENST00000505820.7	MIB2	MIB2-219	protein_coding	protein_coding
ENSG00000197530.13	ENST00000518681.6	MIB2	MIB2-231	protein_coding	protein_coding
ENSG00000197530.13	ENST00000520777.6	MIB2	MIB2-232	protein_coding	protein_coding
ENSG00000197530.13	ENST00000514363.1	MIB2	MIB2-230	protein_coding	nonsense_mediated_decay
ENSG00000197530.13	ENST00000487053.5	MIB2	MIB2-213	protein_coding	nonsense_mediated_decay
ENSG00000197530.13	ENST00000502470.5	MIB2	MIB2-215	protein_coding	nonsense_mediated_decay
ENSG00000197530.13	ENST00000378712.5	MIB2	MIB2-203	protein_coding	protein_coding
ENSG00000197530.13	ENST00000504599.6	MIB2	MIB2-217	protein_coding	protein_coding
ENSG00000197530.13	ENST00000378708.5	MIB2	MIB2-202	protein_coding	protein_coding
ENSG00000197530.13	ENST00000506488.5	MIB2	MIB2-220	protein_coding	nonsense_mediated_decay
ENSG00000197530.13	ENST00000486072.1	MIB2	MIB2-212	protein_coding	nonsense_mediated_decay
ENSG00000189409.14	ENST00000356026.10	MMP23B	MMP23B-201	protein_coding	protein_coding
ENSG00000189409.14	ENST00000512731.5	MMP23B	MMP23B-210	protein_coding	nonsense_mediated_decay
ENSG00000189409.14	ENST00000378675.7	MMP23B	MMP23B-202	protein_coding	protein_coding
ENSG00000189409.14	ENST00000490017.1	MMP23B	MMP23B-208	protein_coding	nonsense_mediated_decay
ENSG00000248333.9	ENST00000341832.11	CDK11B	CDK11B-203	protein_coding	protein_coding
ENSG00000248333.9	ENST00000407249.7	CDK11B	CDK11B-204	protein_coding	protein_coding
ENSG00000248333.9	ENST00000340677.9	CDK11B	CDK11B-201	protein_coding	protein_coding
ENSG00000248333.9	ENST00000611150.3	CDK11B	CDK11B-205	protein_coding	nonsense_mediated_decay
ENSG00000248333.9	ENST00000615951.4	CDK11B	CDK11B-206	protein_coding	nonsense_mediated_decay
ENSG00000248333.9	ENST00000626918.2	CDK11B	CDK11B-207	protein_coding	protein_coding
ENSG00000248333.9	ENST00000629289.2	CDK11B	CDK11B-208	protein_coding	protein_coding
ENSG00000248333.9	ENST00000629312.2	CDK11B	CDK11B-209	protein_coding	protein_coding
ENSG00000272004.1	ENST00000607013.1	ENSG00000272004	ENST00000607013	lncRNA	lncRNA
ENSG00000189339.12	ENST00000614300.4	SLC35E2B	SLC35E2B-204	protein_coding	protein_coding
ENSG00000189339.12	ENST00000617444.5	SLC35E2B	SLC35E2B-205	protein_coding	protein_coding
ENSG00000189339.12	ENST00000611123.1	SLC35E2B	SLC35E2B-203	protein_coding	protein_coding
ENSG00000293187.1	ENST00000596308.1	ENSG00000293187	ENST00000596308	lncRNA	lncRNA
ENSG00000008128.23	ENST00000404249.8	CDK11A	CDK11A-208	protein_coding	protein_coding
ENSG00000008128.23	ENST00000356200.7	CDK11A	CDK11A-201	protein_coding	protein_coding
ENSG00000008128.23	ENST00000378638.6	CDK11A	CDK11A-206	protein_coding	protein_coding
ENSG00000008128.23	ENST00000509982.5	CDK11A	CDK11A-223	protein_coding	nonsense_mediated_decay
ENSG00000008128.23	ENST00000357760.6	CDK11A	CDK11A-203	protein_coding	protein_coding
ENSG00000008128.23	ENST00000358779.9	CDK11A	CDK11A-204	protein_coding	protein_coding
ENSG00000008128.23	ENST00000378633.5	CDK11A	CDK11A-205	protein_coding	protein_coding
ENSG00000008128.23	ENST00000460465.5	CDK11A	CDK11A-209	protein_coding	nonsense_mediated_decay
ENSG00000268575.1	ENST00000598846.1	ENSG00000268575	ENST00000598846	lncRNA	lncRNA
ENSG00000293188.1	ENST00000417099.1	ENSG00000293188	ENST00000417099	lncRNA	lncRNA
ENSG00000293188.1	ENST00000424604.1	ENSG00000293188	ENST00000424604	lncRNA	lncRNA
ENSG00000290854.1	ENST00000647043.1	ENSG00000290854	ENST00000647043	lncRNA	lncRNA
ENSG00000290854.1	ENST00000475229.2	ENSG00000290854	ENST00000475229	lncRNA	lncRNA
ENSG00000290854.1	ENST00000246421.4	ENSG00000290854	ENST00000246421	lncRNA	lncRNA
ENSG00000008130.15	ENST00000341426.9	NADK	NADK-201	protein_coding	protein_coding
ENSG00000008130.15	ENST00000341991.7	NADK	NADK-202	protein_coding	protein_coding
ENSG00000008130.15	ENST00000378625.5	NADK	NADK-204	protein_coding	protein_coding
ENSG00000008130.15	ENST00000498806.1	NADK	NADK-217	protein_coding	nonsense_mediated_decay
ENSG00000008130.15	ENST00000489538.1	NADK	NADK-211	protein_coding	nonsense_mediated_decay
ENSG00000008130.15	ENST00000497186.5	NADK	NADK-214	protein_coding	nonsense_mediated_decay
ENSG00000078369.19	ENST00000615252.5	GNB1	GNB1-210	protein_coding	protein_coding
ENSG00000078369.19	ENST00000610897.4	GNB1	GNB1-209	protein_coding	protein_coding
ENSG00000078369.19	ENST00000378609.9	GNB1	GNB1-201	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703692.1	GNB1	GNB1-211	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703693.1	GNB1	GNB1-212	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703694.1	GNB1	GNB1-213	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703695.1	GNB1	GNB1-214	protein_coding	nonsense_mediated_decay
ENSG00000078369.19	ENST00000703696.1	GNB1	GNB1-215	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703697.1	GNB1	GNB1-216	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703699.1	GNB1	GNB1-218	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703700.1	GNB1	GNB1-219	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703701.1	GNB1	GNB1-220	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703702.1	GNB1	GNB1-221	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703703.1	GNB1	GNB1-222	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703704.1	GNB1	GNB1-223	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703705.1	GNB1	GNB1-224	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703706.1	GNB1	GNB1-225	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703707.1	GNB1	GNB1-226	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703708.1	GNB1	GNB1-227	protein_coding	protein_coding
ENSG00000078369.19	ENST00000703709.1	GNB1	GNB1-228	protein_coding	protein_coding
